wknr_2021;wkme_2021;land;z;wk_gewinner_party;wk_gewinner_share;wk_gewinner_mh;wk_zweiter;wk_zweiter_party;wk_zweiter_share;wk_zweiter_mh;Quelle;Abgerufen am
136;HÃ¶xter â€“ GÃ¼tersloh III â€“ Lippe II;Nordrhein-Westfalen;Haase Christian;CDU;40,10;0;Dr Kros Ulrich;SPD;28,00;0;https://www.nrwspd.de/personen/hoexter-guetersloh-iii-lippe-ii-dr-ulrich-kros/;1.2.2023 13:48:00
137;Paderborn;Nordrhein-Westfalen;Dr Linnemann Carsten Christoffer ;CDU;47,90;0;Blienert Burkhard Karl Erich;SPD;19,00;0;;
138;Hagen â€“ Ennepe-Ruhr-Kreis I;Nordrhein-Westfalen;Schisanowski Timo;SPD;33,30;0;Nienhaus Ernst Christian;CDU;26,40;0;https://www.cdu-ennepe-ruhr.de/artikel/christian-nienhaus;1.2.2023 13:50:00
139;Ennepe-Ruhr-Kreis II;Nordrhein-Westfalen;Echeverria Iki Axel;SPD;35,40;1;Ziebs Hartmut;CDU;24,60;0;https://hartmut-ziebs.de/zur-person;1.2.2023 13:51:00
140;Bochum I;Nordrhein-Westfalen;Schäfer Axel Helmut;SPD;38,30;0;Schütz Fabian;CDU;21,70;0;https://fabian-schuetz-2021.de/persoenlich;1.2.2023 13:51:00
141;Herne â€“ Bochum II;Nordrhein-Westfalen;Müntefering Michelle-Jasmin Gabriele;SPD;43,40;0;Bußmann Christoph;CDU;19,80;0;https://www.abgeordnetenwatch.de/profile/christoph-bussmann;1.2.2023 13:52:00
142;Dortmund I;Nordrhein-Westfalen;Peick Jens;SPD;33,00;0;Wegener Klaus;CDU;19,40;;;
143;Dortmund II;Nordrhein-Westfalen;Poschmann Sabine;SPD;39,10;0;Depenbrock Michael;CDU;20,30;;;
144;Un I;Nordrhein-Westfalen;Kaczmarek Oliver;SPD;40,80;0;Hüppe Hubert Wilhelm;CDU;25,10;0;;
145;Hamm â€“ Un II;Nordrhein-Westfalen;Thews Michael Eckardt;SPD;40,60;0;Hilwig Arnd;CDU;26,50;0;https://www.arnd-hilwig.de/#zurperson;1.2.2023 13:55:00
146;Soest;Nordrhein-Westfalen;Thies Hans-Jürgen;CDU;33,10;0;Hellmich Wolfgang;SPD ;30,80;0;;
147;Hochsauerlandkreis;Nordrhein-Westfalen;Merz Joachim-Friedrich Martin Josef ;CDU;40,40;0;Wiese Dirk;SPD;32,20;0;;
148;Siegen-Wittgenstein;Nordrhein-Westfalen;Klein Volkmar;CDU;33,60;0;Lici-Bode Luiza;SPD;30,40;1;;
149;Olpe â€“ MÃ¤rkischer Kreis I;Nordrhein-Westfalen;Müller Florian Matthias ;CDU;37,10;0;Baradari Nezahat;SPD;29,60;1;;
150;MÃ¤rkischer Kreis II;Nordrhein-Westfalen;Ziemiak Paul;CDU;33,60;1;Lugk Betti;SPD;30,40;0;;
